ExeInfo,Total_Sent_MB,Connection_Count
\Device\HarddiskVolume3\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.26100.5074_none_a5532eb7772ad4c4\TiWorker.exe,9271.40771484375,2
\Device\HarddiskVolume3\Windows\System32\svchost.exe [NetworkService],3297.0,4
\Device\HarddiskVolume3\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.26100.7295_none_a53f7c7777395343\TiWorker.exe,2805.44482421875,2
\Device\HarddiskVolume3\Windows\UUS\amd64\wuaucltcore.exe,2724.5888671875,2
\Device\HarddiskVolume3\Windows\System32\svchost.exe [netsvcs],1851.38916015625,4
System,1378.9716796875,4
\Device\HarddiskVolume3\Windows\System32\svchost.exe [wsappx],680.02734375,4
\Device\HarddiskVolume3\$WinREAgent\Scratch\A7E56FE0-A92B-43C4-9038-7A54DA7315D9\DismHost.exe,558.78515625,1
\Device\HarddiskVolume3\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,536.08984375,3
\Device\HarddiskVolume3\Program Files\Windows Defender\MsMpEng.exe,529.9326171875,4
\Device\HarddiskVolume3\Windows\System32\wimserv.exe,391.55859375,1
Registry,207.75439453125,4
\Device\HarddiskVolume3\Windows\System32\SearchIndexer.exe,36.625,2
\Device\HarddiskVolume3\Windows\System32\svchost.exe [LocalServiceNetworkRestricted],29.3828125,4
Microsoft.Windows.CloudExperienceHost_10.0.26100.1_neutral_neutral_cw5n1h2txyewy,22.58203125,2
\Device\HarddiskVolume3\Windows\System32\svchost.exe,19.79296875,2
\Device\HarddiskVolume3\Windows\System32\dllhost.exe,16.26171875,4
MicrosoftWindows.Client.WebExperience_424.1301.270.9_x64__cw5n1h2txyewy,13.50390625,1
\Device\HarddiskVolume3\Windows\UUS\amd64\MoUsoCoreWorker.exe,12.01953125,2
\Device\HarddiskVolume3\Program Files (x86)\Microsoft\EdgeUpdate\Install\{89E55343-B571-4B8B-A628-72083A955828}\MicrosoftEdge_X64_143.0.3650.96.exe,10.40625,1
